timestamp,coal_flow_furnace_t_h,vazao_ar_total_knm3_h,vazao_ar_prim_total_knm3_h,temp_hot_pri_air_in_preaq_ar_saida,tau_densa,tau_diluida,tau_backpass,o2_excess_pct,delta_proxy
2024-02-03 15:00:00,66.50999999999999,,777.248,14.84,-0.5275525279552501,-0.6854198870706765,-0.7977575656959254,447.535,0.8092898739461886
2024-02-03 16:00:00,65.572,,762.895,14.283,-0.3044195216386209,-0.6733987761268666,-0.6412741117843608,434.226,0.8329591888769945
2024-02-03 17:00:00,66.369,,776.878,14.58,-0.518196476842972,-0.5951833596428187,-0.6821087259514979,437.942,0.8029638436331209
2024-02-03 18:00:00,66.68,,777.815,14.488,-0.4874271075560635,-0.7095895901251366,-0.539197038888991,437.404,0.6518653007629478
2024-02-03 19:00:00,67.874,,768.096,15.033,-0.5460542985818551,-0.3939526303505675,-0.8391390085706079,442.106,0.7966402287573622
2024-02-03 20:00:00,67.994,,766.338,14.887,-0.5251447797797599,-0.6218063366585852,-0.8705018022151901,443.539,0.8148816113172281
2024-02-03 21:00:00,70.621,,783.012,15.495,-0.5406072442457287,-0.5706555477400316,-0.7802502740670284,457.318,0.9203235592545116
2024-02-03 22:00:00,70.337,,764.595,15.604,-0.740737755595375,-0.7991297706178809,-0.7890321074862896,460.894,0.793033980854571
2024-02-03 23:00:00,72.145,,782.164,15.721,-0.5988048811787208,-0.5536694436361133,-0.6978889306213086,463.15,0.7961571412955012
2024-02-04 00:00:00,71.88499999999999,,762.487,15.972,-0.7458045508342279,-0.8213655467693904,-0.6998836389651082,464.552,0.7874977985416456
2024-02-04 01:00:00,72.649,,775.288,15.886,-0.4595260669816945,-0.6285261020935206,-0.4823186225022958,466.904,0.8216327585967335
2024-02-04 02:00:00,70.351,,772.816,16.096,-0.7685756296694342,-0.6880248311485572,-0.5853639772807091,461.106,0.772372330110782
2024-02-04 03:00:00,71.537,,779.158,16.27,-0.527766693155877,-0.5237635572915331,-0.5052264890422403,465.067,0.8093357672550654
2024-02-04 04:00:00,70.713,,786.262,15.752,-0.4729275050525039,-0.6258378196781509,-0.8097485866448954,461.642,0.3163089786692726
2024-02-04 05:00:00,67.577,,777.449,15.29,-0.6330344700678557,-0.6577933266047441,-0.8284368113754023,460.617,0.4498513965115983
2024-02-04 06:00:00,68.214,,772.753,15.45,-0.5647946417722782,-0.6333244039213144,-0.738069815023864,458.066,0.1796974593115654
2024-02-04 07:00:00,70.048,,775.616,15.502,-0.6577992185926118,-0.7190763447348975,-0.6796588743345746,454.737,0.2899643724544358
2024-02-04 08:00:00,69.678,,781.329,15.616,-0.6945289000456791,-0.6395695627834506,-0.6437215073869951,457.215,0.2470671979197838
2024-02-04 09:00:00,69.202,,745.574,15.961,-0.6985121590906627,-0.7233627302230484,-0.776738607807388,468.142,0.0819521822863881
2024-02-04 10:00:00,69.839,,749.069,15.67,-0.5205770353728996,-0.696282797454942,-0.8897996326738012,464.897,0.6373051488544778
2024-02-04 11:00:00,72.07300000000001,,777.395,16.198,-0.5190800136498166,-0.5931182056243597,-0.7009718819782523,474.412,0.477873133751412
2024-02-04 12:00:00,72.205,,781.751,16.205,-0.5570165184453647,-0.6374395891314487,-0.6116200984903933,475.991,0.8096884211022239
2024-02-04 13:00:00,72.892,,777.232,16.239,-0.542371659131155,-0.5976183503482095,-0.7908157310476838,474.417,0.6234584163529012
2024-02-04 14:00:00,71.852,,786.153,16.149,-0.4769541113571479,-0.6161744929268088,-0.7807893069524945,475.269,0.7495139659224824
2024-02-04 15:00:00,71.74799999999999,,791.177,16.234,-0.5386839246550323,-0.544678463604424,-0.7408869942132484,472.705,0.7904929408051828
2024-02-04 16:00:00,70.68100000000001,,775.034,16.039,-0.6267296807398182,-0.628236687391425,-0.6735408316703957,469.426,0.282575803432342
2024-02-04 17:00:00,71.884,,792.918,15.687,-0.6344015955558999,-0.7193900986170431,-0.6773294615848743,465.391,-0.0494296581100769
2024-02-04 18:00:00,71.733,,783.111,16.051,-0.4008610707231982,-0.4417619474202164,-0.8414086942962601,472.152,0.5701955080840635
2024-02-04 19:00:00,70.369,,776.523,15.593,-0.6046723491791326,-0.5177814457592884,-0.8136453065406614,456.868,0.5701955080840635
2024-02-04 20:00:00,70.625,,777.088,15.519,-0.5743221711971264,-0.5553182729264966,-0.7057614641906342,458.58,0.3376141419768075
2024-02-04 21:00:00,70.259,,766.304,16.153,-0.6201772564548639,-0.5979693418843739,-0.6500860586056177,472.592,0.4370382374119706
2024-02-04 22:00:00,72.41499999999999,,770.891,16.61,-0.5233294652831861,-0.7048102914003964,-0.6859199417871592,484.667,0.618927329997333
2024-02-04 23:00:00,73.592,,773.053,16.457,-0.6423260169714323,-0.5142431554796322,-0.8483211560452584,476.236,0.6376618585579246
2024-02-05 00:00:00,74.851,,777.823,16.469,-0.8406126850555153,-0.7688392140706517,-0.8058215184308771,477.047,0.7691356441163145
2024-02-05 01:00:00,72.832,,767.39,16.166,-0.7603360802337247,-0.7418330566297273,-0.7002007327181636,477.555,0.3908770502456445
2024-02-05 02:00:00,70.539,,775.441,16.15,-0.4441514929266731,-0.6073025471455292,-0.5600575235299308,474.053,0.3926524805212722
2024-02-05 03:00:00,70.47,,770.238,16.254,-0.4156303036218555,-0.5090245822521483,-0.4720397493616162,475.773,0.3074318272911324
2024-02-05 04:00:00,71.011,,765.045,16.594,-0.3917407334943413,-0.4034059449752929,-0.2784856489250272,478.042,0.587949810840343
2024-02-05 05:00:00,69.651,,762.052,16.095,-0.4360820184591282,-0.8250709635623524,-0.442008315890268,470.592,-0.0371608032027461
2024-02-05 06:00:00,67.344,,761.058,14.978,-0.5771477260507278,-0.7774217459330813,-0.7133869089805253,454.903,-0.0555386220598908
2024-02-05 07:00:00,64.601,,754.6,14.329,-0.2574341424220077,-0.5778149129751514,-0.5700284895217073,438.134,-0.1754852076796589
2024-02-05 08:00:00,62.816,,756.947,14.267,-0.1521348082175498,-0.4528866730942653,-0.4940696266907645,431.029,0.1032573455939231
