variavel,count,mean,std,min,q25,median,q75,max
pressure_1_of_furnace_b_bed_kpa,188,1.449877659574468,0.1703581032663366,1.097,1.31825,1.436,1.558,1.997
pressure_1_of_furnace_b_upper_pa,188,-101.30765425531915,108.78600021010996,-377.804,-181.6515,-108.54599999999999,-34.22725,207.862
pressure_3_of_furnace_bed_kpa,188,3.4718351063829784,0.2605574637503816,2.786,3.2835,3.482,3.62925,4.166
pressure_of_furnace_a_lower_kpa,188,2.128260638297873,0.17471985565781503,1.729,2.01775,2.1165000000000003,2.25225,2.636
pressure_of_furnace_a_medium_pa,188,319.0812659574468,117.78806350183271,28.766,230.57225,306.905,394.22375,684.562
pressure_of_furnace_b_lower_kpa,188,832.1949414893616,8.962729942561928,806.508,826.7065,832.366,837.5197499999999,853.971
pressure_of_furnace_b_medium_pa,188,0.7563936170212766,0.07267769565465546,0.597,0.7075,0.75,0.798,0.945
pressure_of_sa_fan_a_outlet_kpa,188,1300.7566755319149,77.68109723519753,1163.12,1236.8110000000001,1291.141,1372.84125,1477.242
pressure_of_sa_fan_b_outlet_kpa,188,9.104558510638299,0.7190165905740733,7.719,8.55325,9.0265,9.679,10.847
prs_air_in_stm_aph_paf_a_outl_kpa,188,8.951335106382977,0.6982798264164608,7.627,8.417250000000001,8.851500000000001,9.5355,10.63
prs_air_in_stm_aph_paf_b_outl_kpa,188,15.467680851063832,0.8953086608170565,14.042,14.759,15.2745,16.1285,18.065
prs_hot_pri_air_in_aph_outl_kpa,188,15.395867021276594,0.17306033808420035,15.13,15.262,15.3735,15.485,16.172
prs_hot_sa_saf_a_in_aph_outl_kpa,188,847.4256808510638,9.744754838381827,810.658,840.2605,848.929,853.3835,876.501
prs_of_condensate_pump_a_inlet_kpa,188,-68.32299468085107,0.6683258075207728,-70.033,-68.791,-68.3235,-67.9005,-66.442
prs_of_condensate_pump_a_outl_mpa,188,-69.7233085106383,0.6712124081284382,-71.407,-70.20675,-69.7325,-69.2925,-68.21
prs_of_condensate_pump_b_inlet_kpa,188,-0.03705851063829787,0.0002353332257862217,-0.038,-0.037,-0.037,-0.037,-0.037
prs_of_condensate_pump_b_outl_mpa,188,37.63034574468085,0.9575463422040871,34.978,37.051249999999996,37.704,38.257,39.72
prs_of_gas_in_aph_outlet_kpa,188,277.6623723404255,8.80446048413933,264.153,270.73375,275.538,283.16825,302.864
prs_of_gas_in_ecmz_side_b_outl_kpa,188,-2.9747500000000002,0.12480344439405638,-3.414,-3.04425,-2.9725,-2.9090000000000003,-2.575
prs_of_gas_in_ltr_side_a_inlet_kpa,188,713.2377234042553,6.820539107715538,693.303,708.4557500000001,713.758,717.2095,740.555
prs_of_gas_in_ltr_side_a_outl_kpa,188,-2.243936170212766,0.11239305633590993,-2.612,-2.312,-2.247,-2.183,-1.928
prs_of_gas_in_ltr_side_b_inlet_kpa,188,16.510585106382976,0.13036258850941984,16.102,16.42275,16.516,16.59025,16.825
prs_of_gas_in_ltr_side_b_outl_kpa,188,-2.6118670212765953,0.12102582204544181,-3.007,-2.6727499999999997,-2.614,-2.54525,-2.239
prs_of_hpfa_fan_a_outlet_head_kpa,188,96.13194148936168,4.210493919961663,85.754,92.90899999999999,95.934,99.34425,105.015
prs_of_hpfa_fan_b_outlet_head_kpa,188,24.60796276595745,3.531389185029925,16.118,22.435000000000002,24.924,27.18775,32.373
prs_of_hpfa_fan_c_outlet_head_kpa,188,94.65252127659572,4.072753195705305,84.471,91.533,94.366,97.6135,103.604
prs_of_hpfa_fan_outl_head_pipe_kpa,188,279.94520212765957,1.3628872511916321,276.398,278.949,279.99,280.879,283.145
sa_fan_a_fq_speed_feedback_rpm,188,1300.643574468085,78.07065929748613,1161.212,1238.27675,1291.346,1372.02375,1475.333
sa_fan_b_fq_speed_feedback_rpm,188,11.631170212765957,0.017087781103937896,11.629,11.629,11.629,11.629,11.765
side_a_drum_level_sel_mm,188,-25.35672340425532,6.611373014914301,-43.736,-29.6825,-25.2345,-21.1175,-7.064
side_b_drum_level_sel_mm,188,1.0120159574468086,0.005963773043800855,0.995,1.008,1.012,1.017,1.028
so2_con_clean_flue_gas_rectifi_mg_m3,188,3023.693095744681,190.65588640677285,2158.594,2932.02725,3016.2405,3108.45875,4095.332
so2_con_raw_flue_gas_rectified_mg_nm3,187,8.317764705882354,0.563449302406203,6.665,7.9015,8.382,8.6325,9.714
so2_concentration_raw_flue_gas_mg_m3,188,8.714324468085104,1.3153770513452019,5.586,7.959,8.7105,9.348,13.452
status_operacao,188,1.0,0.0,1.0,1.0,1.0,1.0,1.0
t_bfbp_b_inlet_temperature_adegc,188,728.5245638297873,7.742533534358339,710.932,722.8955,728.3385000000001,732.458,755.143
tau_backpass,188,-0.5268523471423525,0.15975325146486002,-0.8736670255355253,-0.6438073539509296,-0.5358638574316295,-0.4199836651308516,-0.0865528581956582
tau_densa,188,-0.16037324884550766,0.17355898598759456,-0.6348215605063903,-0.27406521066132866,-0.13398534053659575,-0.04478111246701987,0.2346877069595033
tau_diluida,188,-0.7868252541393435,0.15108265463166887,-1.172487420282888,-0.8758728182435391,-0.7887567083700368,-0.6863788425786078,-0.4718965995164064
tau_global,188,-0.49135028337573455,0.12335930511148094,-0.818192302778876,-0.5711352494808664,-0.4904235261441054,-0.40307611088437933,-0.1336983538313097
te_no_6_hp_heater_ol_feed_wtr_adegc,188,149.5220319148936,0.2599975916024886,148.808,149.339,149.543,149.706,150.115
te_no_7_hp_heater_ol_feed_wtr_adegc,188,221.2837074468085,0.3689942459268646,220.324,221.004,221.269,221.5255,222.318
te_no_8_hp_heater_ol_feed_wtr_adegc,188,251.1498138297872,0.3799954297786152,250.215,250.857,251.155,251.453,252.049
te_of_gas_in_ecmz_side_a_outl_adegc,188,307.97919680851066,8.961226088796955,295.115,301.47525,305.718,312.318,339.608
te_of_gas_in_ecmz_side_b_outl_adegc,188,-2.898531914893617,0.12344621051466594,-3.324,-2.9675000000000002,-2.904,-2.833,-2.492
te_of_hot_pri_air_in_aph_outl_adegc,188,14.715313829787236,0.838282023695823,13.383,14.04075,14.5265,15.345500000000001,17.114
te_of_hpfa_fan_outl_head_pipe_adegc,188,52.04248936170212,0.11948563958919756,51.734,51.953,52.041,52.1185,52.366
temp_1_of_furnace_a_inner_adegc,188,1.5316808510638298,0.17358224562147404,1.169,1.40475,1.509,1.6372499999999999,2.1
temp_1_of_furnace_b_inner_adegc,188,777.3425744680851,15.121123126233147,729.828,770.085,780.863,787.96675,804.888
temp_3_of_furnace_a_inner_adegc,188,279.0622819148936,118.1308620986097,-7.489,201.95075,264.676,357.19050000000004,644.416
temp_3_of_furnace_b_inner_adegc,188,803.6158882978724,10.105431683051691,744.37,796.25325,804.9705,809.896,829.996
temp_of_3_lph_outl_wtr_adegc,188,3.6253723404255314,0.027258510535833634,3.534,3.607,3.629,3.643,3.691
temp_of_4_lph_outl_wtr_adegc,188,113.68586170212767,0.7865648132038132,111.474,113.23175,113.6965,114.222,115.274
temp_of_cnd_pump_outl_header_adegc,188,3.5942340425531922,0.027492896712908017,3.504,3.576,3.597,3.613,3.66
temp_of_cnd_water_of_dea_inl_adegc,188,0.03823936170212766,0.21981947173442368,-0.68,-0.107,0.036,0.179,0.608
temp_of_furnace_a_outl_adegc,188,813.3249202127661,9.058129764646354,789.852,807.28575,813.334,818.9375,836.565
temp_of_furnace_b_outl_adegc,188,-108.31926595744682,107.4308678949219,-366.085,-186.572,-121.36349999999999,-43.795,195.778
temp_of_gas_in_aph_outl_adegc,188,-4.277622340425532,0.14091989961627882,-4.771,-4.3635,-4.266,-4.1865000000000006,-3.808
temp_of_gas_in_ltr_side_a_inl_adegc,188,728.4665159574469,6.70259552206191,715.254,723.98375,727.954,732.8512499999999,749.936
temp_of_gas_in_ltr_side_a_outl_adegc,188,508.4755053191489,10.699773897104995,484.403,499.99424999999997,509.0335,516.601,534.349
temp_of_gas_in_ltr_side_b_inl_adegc,188,-2.2482872340425533,0.1139852811907636,-2.572,-2.32875,-2.2584999999999997,-2.1830000000000003,-1.919
temp_of_gas_in_ltr_side_b_outl_adegc,188,-2.587808510638298,0.11881890022288694,-2.979,-2.654,-2.591,-2.5294999999999996,-2.209
temp_of_hpfa_fan_a_outl_adegc,188,95.50414361702127,4.098589305452776,85.434,92.417,95.4115,98.338,104.935
temp_of_hpfa_fan_b_outl_adegc,188,54.23178723404256,0.12896290328770552,53.916,54.14,54.2345,54.316500000000005,54.565
temp_of_hpfa_fan_c_outl_adegc,188,-0.03886170212765958,0.09896562370420416,-0.291,-0.1025,-0.035500000000000004,0.031,0.183
temperature_of_cyclone_a_inlet_adegc,188,837.792425531915,6.377239321059012,819.798,833.84775,838.358,841.971,857.11
temperature_of_cyclone_b_inlet_adegc,188,861.0181914893616,10.21599776514596,831.641,855.336,861.5274999999999,867.818,885.767
temperature_of_cyclone_c_inlet_adegc,188,-1.784744680851064,0.12594913973676977,-2.05,-1.86325,-1.7919999999999998,-1.70875,-1.456
total_air_flow_knm3_h,188,821.0314946808512,6.700817680567563,800.254,816.71325,822.1505,825.92625,834.87
total_fuel_flow_t_h,188,3.2155531914893616,0.1258172103393149,2.857,3.14275,3.206,3.255,3.823
total_paf_air_flow_knm3_h,188,763.79975,12.587094005953313,729.402,755.6405,763.7815,771.83975,793.213
u_valve_a_inlet_static_prs_kpa,188,-1.3056170212765958,0.1429878351194579,-1.684,-1.38825,-1.2985,-1.2085000000000001,-0.918
u_valve_b_inlet_static_prs_kpa,188,-1.502367021276596,0.12652136585923834,-1.919,-1.581,-1.5,-1.4305,-1.121
u_valve_c_inlet_static_prs_kpa,188,304.16701063829794,9.077128614393384,291.578,297.30375000000004,302.217,307.971,330.232
unit_actual_mw,188,6.52522340425532,0.3242487542558605,5.67,6.309,6.54,6.718,7.235
vacuum_pres_from_tcs_kpa,188,534.7199361702128,3.3704379007723566,526.494,531.9132500000001,534.5055,536.985,543.011
