variavel,count,mean,std,min,q25,median,q75,max
flw_total_a_t_h,11569,77.01133935517332,9.721862260850887,0.373,71.43100000000001,76.384,82.45,119.588
flw_total_b_t_h,11569,143.8785176765494,15.819593237810237,0.37,134.659,142.452,154.28499999999997,195.277
flw_total_c_t_h,11569,72.07583654594174,9.725492648740797,40.023,65.851,70.93700000000001,78.687,111.046
fsh_outl_hdr_pres_mpa_mi,11569,-0.004201746045466332,0.3526125661576793,-3.555,-0.072,-0.001,0.038,3.255
fsh_outl_hdr_temp_adegc_min,11569,0.0027361051084795573,0.21938178796520585,-2.468,-0.036,0.0,0.036,3.649
furnace_bed_temp_10_12_sel_adegc,11569,826.6290348344716,24.563102926993043,630.121,805.7,825.08,846.063,923.539
furnace_bed_temp_13_15_sel_adegc,11569,826.5441884346097,27.68365388651272,636.149,804.634,825.132,843.813,929.4
furnace_bed_temp_16_18_sel_adegc,11569,844.3958228887543,26.265693903059297,694.448,825.881,844.369,864.331,924.303
furnace_bed_temp_1_3_sel_adegc,11569,832.1980009508169,44.666312988756914,690.0,796.857,834.195,862.43,1183.643
furnace_bed_temp_4_6_sel_adegc,11569,834.7013199930849,28.212430024608764,513.208,813.388,831.735,857.727,1075.567
furnace_bed_temp_7_9_sel_adegc,11569,841.8225017719768,31.774158447824323,659.922,820.513,838.983,864.459,964.767
furnace_pres_pa,11561,181.36111443646743,313.33057819241384,-432.873,-89.32,342.094,385.212,5000.0
hi_te_rh_ol_temp_adegc_min,11569,-0.0006047195090327597,0.2382068975766753,-2.005,-0.014,0.0,0.008,4.581
hi_temperture_reheol_pres_mpa_mi,11569,73.39926934047887,69.10253848256217,-0.125,0.001,70.197,146.155,178.809
hot_reheat_steam_pressure_mpa,11568,307.23724144190874,264.26087242076,1.522,3.655,532.546,539.004,543.759
hot_reheat_steam_temperature_1_adegc,11568,231.2607060857538,261.5097582062552,1.155,3.417,4.156499999999999,530.83725,543.583
id_fan_a_move_impeller_pos_fdb_,11569,166.97499438153687,109.23021884640782,20.738,46.198,221.344,251.022,361.954
id_fan_a_outlet_pressure_kpa,11568,28.33271827455049,24.492227490306394,-0.096,1.024,40.475,49.86175,67.361
id_fan_b_move_impeller_pos_fdb_,11569,164.34049840089895,105.5108255342344,23.714,47.227,218.14,246.445,356.232
id_fan_b_outlet_pressure_kpa,11568,27.629961531811897,23.65153404774798,-0.095,0.956,41.7535,47.571,64.081
idf_a_volumetric_flow_rate_cal_m3_s,11568,131.9642718706777,146.07287674421727,-88.272,3.967,12.207,295.3975,373.329
